src1.lognorm src2.lognorm src3.lognorm pl1.PhoIndex src1.lognH
-4.920117668214444961e+00 -5.000547817855277799e+00 -4.773732510487364245e+00 2.372566476623274134e+00 2.167534787942184238e+01
-5.061529535136646274e+00 -5.080644307649664349e+00 -4.967084497785824837e+00 2.057167651398517094e+00 2.138092060812180861e+01
-5.064445446356519831e+00 -5.061187768879328530e+00 -4.951420217096026199e+00 2.125320671889585178e+00 2.141891940938831596e+01
-4.949960370243063679e+00 -4.978408147449993493e+00 -4.864290171694032772e+00 2.168327749775277091e+00 2.163170466722121432e+01
-4.890952678512974217e+00 -4.925148150097335531e+00 -4.789274039954785067e+00 2.326336508103487688e+00 2.167168873294880882e+01
-4.944365154473559620e+00 -4.835935355105039690e+00 -4.773771154242217207e+00 2.278029534016654978e+00 2.171708828881714481e+01
-4.937820503798510785e+00 -5.079539187553086421e+00 -4.842836579305197731e+00 2.210614450221180860e+00 2.158645530728121642e+01
-5.030695083438915916e+00 -5.110329550557864309e+00 -4.968445550176695313e+00 2.009667703975987152e+00 2.148503838778787411e+01
-5.102328230776144835e+00 -5.139618889259571333e+00 -4.925926783098898198e+00 2.060949947122359127e+00 2.136789642050218418e+01
-4.952761799381876884e+00 -5.019236056645988597e+00 -4.866638968197836590e+00 2.284691910146407601e+00 2.150491601467558311e+01
-5.018716768228250302e+00 -5.125468641117712387e+00 -4.933832991892540321e+00 2.036113306975297910e+00 2.140654190483775210e+01
-4.904738683995123694e+00 -5.022121938704234623e+00 -4.961353126080236819e+00 2.259884789004818373e+00 2.148216276149497617e+01
-5.102328230776144835e+00 -5.139618889259571333e+00 -4.925926783098898198e+00 2.060949947122359127e+00 2.136789642050218418e+01
-4.938257056791012900e+00 -5.018511572895672401e+00 -4.915270894660521250e+00 2.221945997784012583e+00 2.147155679914763127e+01
-4.906522479921160418e+00 -4.962941065424603337e+00 -4.698794258215666098e+00 2.598143363412435569e+00 2.165434371744979458e+01
-4.969240487695151032e+00 -5.002362441919289360e+00 -4.888735512538313621e+00 2.202834291038213266e+00 2.151912917082040977e+01
-4.858862182728947765e+00 -5.004375526758062520e+00 -4.792204776110923881e+00 2.315393413886651430e+00 2.167746048840869122e+01
-5.082764367566700692e+00 -4.957432255162317780e+00 -4.905345822398277100e+00 2.110466106627765903e+00 2.151901048742469058e+01
-4.912021375381929289e+00 -4.996741061074509105e+00 -4.782491405369077242e+00 2.541142991077307123e+00 2.156724145336002607e+01
