src1.lognorm src2.lognorm pl1.PhoIndex src1.lognH
-5.325312864119213785e+00 -4.744848540341734200e+00 1.820325748295653412e+00 2.096216752789042914e+01
-5.494397912017570107e+00 -4.864448352754747518e+00 1.416869514859523171e+00 1.984828313414559275e+01
-5.439567249168123730e+00 -4.798814970360948173e+00 1.792956140311815716e+00 1.932587818067675300e+01
-5.529448282873594245e+00 -4.832952079489652775e+00 1.585947239987485879e+00 1.987988068015987864e+01
-5.411779823690170410e+00 -4.813492312501383985e+00 1.645289671649304175e+00 2.016797940414798873e+01
-5.371185477840280775e+00 -4.842235206626602562e+00 1.750574831126618491e+00 1.988909322175688743e+01
-5.439918111685402735e+00 -4.793370126604489023e+00 1.595913409358534096e+00 2.052443785652322816e+01
-5.309142171141349564e+00 -4.749059127379448242e+00 1.833380602793910796e+00 2.083874575185037870e+01
-5.415170791388627336e+00 -4.786808195604240979e+00 1.633063964349068087e+00 1.956757650347624988e+01
-5.481296560458872591e+00 -4.851951638686202273e+00 1.603433248784346787e+00 1.926777317914635645e+01
-5.414860200899240361e+00 -4.783929053869361070e+00 1.758900290078873496e+00 1.947322933290377378e+01
-5.397382491002000293e+00 -4.799648089641845417e+00 1.572125305066431444e+00 2.026705734400777459e+01
-5.448587247799454580e+00 -4.800374117580288313e+00 1.693980422022028698e+00 2.060841890111806052e+01
-5.463012349182568173e+00 -4.808870793203817939e+00 1.652205385841038598e+00 1.933098364196810692e+01
-5.518870948293704615e+00 -4.794165968134875833e+00 1.675000422145126677e+00 2.077858356938463658e+01
-5.483153721359149024e+00 -4.841265899002667794e+00 1.537574322906579027e+00 1.927480167779685871e+01
-5.363501059431826867e+00 -4.746774511494828985e+00 1.636452002525377480e+00 2.026761036654418646e+01
-5.324983585896616134e+00 -4.703952221160938585e+00 1.827851511719265076e+00 2.117237551314510213e+01
-5.406296664232820071e+00 -4.779052845518959813e+00 1.642734583367483125e+00 2.001198070909520155e+01
-5.377549730547995566e+00 -4.749815790298065110e+00 1.818456706542376899e+00 2.084830776584382050e+01
-5.358890330035965377e+00 -4.785778003083838605e+00 1.691387559223485937e+00 2.073456838874555075e+01
-5.386042763468089412e+00 -4.783354475785547066e+00 1.699420169655313728e+00 1.958108561033031592e+01
-5.405035456558374918e+00 -4.820041344354876856e+00 1.702162687714288580e+00 1.943196132858869873e+01
-5.394393909658723452e+00 -4.775918070885316169e+00 1.684230864828522911e+00 1.905643401034170381e+01
-5.432911775781041008e+00 -4.773216733746984630e+00 1.696524513273785395e+00 1.903031763801435261e+01
-5.445348219773197940e+00 -4.744978524131282960e+00 1.850755205449495122e+00 2.038104836641750239e+01
-5.440796317015355044e+00 -4.774888511459252527e+00 1.785503160533789213e+00 1.928196968295039682e+01
-5.318164268684643758e+00 -4.642882216989853816e+00 2.037281287439634880e+00 2.110325866197756994e+01
-5.427474809699164737e+00 -4.774357009963361875e+00 1.776841503773558095e+00 2.053947122094079702e+01
-5.436547176701225226e+00 -4.812890845003409801e+00 1.699778947597529566e+00 1.934471179807225028e+01
-5.386561600440458619e+00 -4.811329772995549092e+00 1.596028810042604995e+00 1.974965795284980885e+01
-5.408665365469678576e+00 -4.858023261369241119e+00 1.585246565859272927e+00 2.063720056675777315e+01
-5.487170550986157025e+00 -4.734507858240729838e+00 1.722740306753249406e+00 2.070480347957158784e+01
-5.322253633815686058e+00 -4.796710929283923619e+00 1.754171306414185949e+00 2.013941708803513464e+01
-5.470838616796962484e+00 -4.810385169667961591e+00 1.562966382107889629e+00 1.928044775622550588e+01
-5.418890202524489830e+00 -4.789801430695629136e+00 1.637202679646723169e+00 2.065879768851981524e+01
-5.376368373525359345e+00 -4.726423059372617530e+00 1.860715463623994204e+00 2.108318605933147438e+01
-5.378935773098223905e+00 -4.736899403853303880e+00 1.784469758734150702e+00 2.098529920506886626e+01
-5.308063056298356841e+00 -4.697928794720285239e+00 1.732747385053095002e+00 2.126046560858088696e+01
-5.470969332181685019e+00 -4.832562858318444121e+00 1.508356971643109112e+00 1.930007904063444713e+01
-5.437670830493074980e+00 -4.770733294983717343e+00 1.657068136567970029e+00 1.997274889714126900e+01
-5.429939995237735850e+00 -4.834685302805781681e+00 1.452579182791737367e+00 1.971906834251246821e+01
-5.309142171141349564e+00 -4.749059127379448242e+00 1.833380602793910796e+00 2.083874575185037870e+01
-5.504712683366856929e+00 -4.757533285971027759e+00 1.655651572497590429e+00 2.029219054203937134e+01
-5.345596103509054231e+00 -4.789614624942104548e+00 1.672387147305311572e+00 2.042627162300955490e+01
-5.421868227918777983e+00 -4.768061062486044221e+00 1.670191520309764144e+00 2.020359536202486339e+01
-5.391860233152873327e+00 -4.732915768863518835e+00 1.880924945981179874e+00 2.094259991177061053e+01
-5.505184108027019185e+00 -4.828127842207879716e+00 1.564722825747232982e+00 2.008391422224326206e+01
-5.418683842090842973e+00 -4.753060156409459225e+00 1.806583604008563881e+00 2.071988435475121904e+01
